procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 935048 279904 113832 742360 2596    0  2596    20 18151 271975 28 35 37 1 0 0
 1  0 930944 273696 113868 742304 4100    0  4100     0 26549 219084 40 35 25 0 0 0
 2  0 929460 273444 113952 742508 1480    0  1512     0 26807 233736 33 38 29 0 0 0
 1  0 928524 273444 113952 742536  932    0   932     0 18730 267381 33 34 33 0 0 0
 2  0 925768 271616 113952 742600 2756    0  2756     0 16610 275760 35 33 32 0 0 0
 3  0 922700 270560 113952 742536 3060    0  3060     0 20873 256124 34 34 32 0 0 0
 4  0 920896 270968 113960 742536 1800    0  1800    20 20255 267005 31 36 32 1 0 0
 3  0 918340 268556 114020 742660 2556    0  2732     0 24654 245128 33 36 30 0 0 0
 5  0 916416 264792 114188 743140 1916    0  2064   720 36681 193304 43 36 21 0 0 0
 2  1 912756 263584 114352 743476 3660    0  3884     0 32762 209725 38 37 25 1 0 0
13  0 909216 260752 114484 743920 3536    0  3788     0 37717 206516 43 36 20 0 0 0
 9  0 908908 256552 114612 744384  304    0   456     0 70409 155584 63 35 1 0 0  0
 1  0 907892 255652 114732 744616 1012    0  1148    36 41727 178499 49 36 14 1 0 0
 9  0 907120 255168 114804 744772  772    0   944     0 37610 195902 41 38 20 0 0 0
 3  0 907108 253300 115024 745120    4    0    60     0 41134 193635 43 38 19 0 0 0
 3  0 907096 253112 115204 745392    8    0   164     0 32314 210478 40 36 23 1 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0 906348 272576 115288 747408  852   80  2892    80 43293 180377 46 39 15 0 0 0
 5  0 905960 266492 115472 747816  376    0   568    20 36068 196319 40 39 21 0 0 0
 1  0 905956 264644 115632 748144    0    0   200     0 27367 227107 36 35 28 0 0 0
 7  0 905932 259900 115736 748324   20    0    92     0 37056 197981 43 38 20 0 0 0
 7  0 904976 256120 115852 748624  952    0  1056     0 35641 204619 38 39 22 0 0 0
 4  0 904232 254860 115968 748652  740    0   852     0 23948 221997 37 35 28 1 0 0
11  0 904196 255184 116200 747004   32    0   200  3480 25727 217271 35 35 29 1 0 0
 3  0 904028 253332 116392 747284  168    0   292  1836 37205 201981 39 39 22 0 0 0
 2  0 904020 249048 116484 747592    0    0   212     0 26414 223384 37 36 28 0 0 0
 5  0 904020 244636 116620 747908    0    0    36     0 32860 213883 38 38 24 0 0 0
 3  1 904016 244036 116796 748060    0    0   144     0 35682 191412 41 37 23 0 0 0
10  0 903904 243508 116924 748608  104    0   192    32 32398 205106 40 36 24 1 0 0
 6  0 903904 244260 117024 748672    0    0    64     0 34669 211147 40 37 23 0 0 0
 6  0 903840 242324 117224 749720   36    0  1060     0 45615 191628 45 38 17 0 0 0
 9  0 903836 242916 117396 751692    4    0  1720     0 30118 215679 38 37 25 1 0 0
 6  1 903832 237564 117532 752076    0    0   148    20 35091 195972 42 38 20 0 0 0
 2  0 903824 234888 117740 752592    4    0   308     0 46481 187699 43 40 17 0 0 0
 9  0 903820 234896 117852 752696    0    0     0    32 29180 220514 37 37 25 0 0 0
 8  1 902812 228356 118036 754780 1016    0  1900   112 46981 161976 50 40 9 1 0  0
 6  1 898800 224008 118248 755156 4004    0  4084   188 43013 184252 45 39 16 0 0 0
 2  0 897832 222940 118404 755432  964    0   992    44 27290 227771 35 38 27 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 891452 221260 118488 755472 6380    0  6380     0 30305 210797 38 37 24 0 0 0
11  0 891440 214644 118548 755496    0    0     0     0 48453 188029 50 37 12 0 0 0
 7  0 891436 212760 118624 755476    0    0   116     0 68841 160309 61 37 3 0 0  0
 4  0 891432 212760 118624 755684    0    0     0     0 21142 239536 35 34 31 0 0 0
 8  0 891428 212052 118748 755776    0    0    80    24 30431 216303 38 36 26 0 0 0
 1  0 891424 207948 118820 755976    0    0     0     8 32061 209465 40 36 24 0 0 0
 8  0 891412 207324 118960 752236    8    0   300     0 31798 209041 38 39 23 0 0 0
 9  0 891412 207008 119072 752424    0    0     0     0 30770 204716 36 38 25 0 0 0
 8  0 891396 205708 119220 752764    8    0    96     0 31065 207663 39 38 23 0 0 0
11  0 891396 204228 119336 752876    0    0   124    24 30690 213613 37 38 26 0 0 0
 8  0 908888 245348 119464 752748    0 17488  100 17488 55292 186776 37 46 17 0 0 0
 1  0 911048 242424 117008 750152 2132 4292  2144  4292 37782 198373 39 39 22 0 0 0
 4  0 910832 231876 117208 750584  216    0   396     0 38780 205982 39 39 21 1 0 0
 5  1 909760 228212 117452 750696 1068    0  1196     0 37794 196985 41 38 21 0 0 0
 4  0 909288 226264 117552 751000  468    0   468    28 28984 222978 36 36 27 1 0 0
 1  0 908980 226264 117608 751176  296    0   448     0 25666 226916 36 36 28 0 0 0
 4  0 908116 223396 117712 751388  864    0   864  4416 31943 211389 38 36 25 0 0 0
11  0 907660 221788 117808 751504  448    0   448  2372 23874 237149 34 35 30 1 0 0
 3  0 907124 220276 117860 751584  532    0   532     0 24884 229992 35 36 29 0 0 0
 2  0 906524 218468 118260 751924  600    0  1088    32 27689 219083 35 36 27 1 0 0
 2  0 905840 215364 118328 752132  676    0   676     0 22750 250070 32 36 32 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0 905432 212980 118356 752132  408    0   408     0 23543 232425 36 35 29 1 0 0
 9  0 905308 211336 118448 752232  112    0   112     0 27598 218795 37 37 26 0 0 0
 2  0 904768 209928 118508 752556  536    0   604     0 22251 247753 32 36 32 0 0 0
 4  0 904412 204972 118652 752736  352    0   352     0 48643 189655 46 40 15 0 0 0
 7  0 904404 207448 118904 752892    4    0    92    24 41279 180429 43 39 18 1 0 0
 5  0 903688 207108 119088 753184  716    0   792     0 34888 216817 41 36 23 0 0 0
 7  0 902480 205272 119260 753348 1200    0  1244    68 40336 200460 41 40 18 0 0 0
 4  0 896512 203484 119468 753724 5968    0  5968     0 35816 191515 42 38 20 0 0 0
 4  0 893524 195292 119572 753856 2984    0  3060     0 28171 226164 36 37 26 0 0 0
 7  0 890480 168036 119804 754184 3040    0  3144    28 56639 176259 49 39 11 0 0 0
10  0 885448 163792 119980 754552 5028    0  5028     0 63026 141480 63 36 1 0 0  0
 3  0 885132 162408 120124 754884  312    0   428     0 56515 166716 56 38 6 0 0  0
 6  0 885128 158656 120284 754920    0    0     0     0 44414 192550 44 38 17 0 0 0
 5  0 885116 156956 120464 755272    8    0    64     0 33102 207888 40 36 24 0 0 0
 7  0 885116 158056 120652 755372    0    0    72    28 28547 212203 38 36 25 1 0 0
 2  0 885104 152120 120704 755800    4    0    88     0 34721 199868 41 37 21 0 0 0
